Country Name,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Ambon, Kota",Number of people unemployed,,,17805,17403,18534,22738,15963,16645,23999
"Ambon, Kota",Number of Polindes (Poliklinik Desa/Village Polyclinic),,,,,,,,,
"Ambon, Kota",Number of Puskesmas and its line services,39,,,,,,52,,
"Ambon, Kota",Number of schools at junior secondary level,42,,,27,,,49,,
"Ambon, Kota",Number of schools at primary level,169,,,141,,,190,,
"Ambon, Kota",Number of schools at Senior Secondary level,40,,,2,,,49,,
"Ambon, Kota","Number of Student: Junior Secondary Level (in number of people, 2009 data only)",,,,,5153,,,,
"Ambon, Kota","Number of Student: Primary Level (in number of people, 2009 data only)",,,,,31375,,,,
"Ambon, Kota","Number of Student: Senior Secondary Level (in number of people, 2009 data only)",,,,,6529,,,,
"Ambon, Kota","Number of Teacher: Junior Secondary Level (in number of people, 2009 data only)",,,,,1539,,,,
"Ambon, Kota","Number of Teacher: Primary Level (in number of people, 2009 data only)",,,,,3037,,,,
"Ambon, Kota","Number of Teacher: Senior Secondary Level (in number of people, 2009 data only)",,,,,1522,,,,
"Ambon, Kota",Others expenditure (in IDR),9829626697,20527370154,,14254586098,,13957694659,37506295014,18430466078,20901383556
"Ambon, Kota","Outstanding Deposits of Commercial Banks owned by Regional Government (Province Level, in IDR Million)",,,,,,,,,
"Ambon, Kota",Palm Oil Land Area by type of condition: Damaged (in Hectares),,,,,,,,,
"Ambon, Kota",Palm Oil Land Area by type of condition: Immature (in Hectares),,,,,,,,,
"Ambon, Kota",Palm Oil Land Area by type of condition: Mature (in Hectares),,,,,,,,,
"Ambon, Kota",Palm Oil Land Area by type of ownership: Private (in Hectares),,,,,,,,,
"Ambon, Kota",Palm Oil Land Area by type of ownership: Smallholder (in Hectares),,,,,,,,,
"Ambon, Kota",Palm Oil Land Area by type of ownership: State Owned Enterprise (in Hectares),,,,,,,,,
"Ambon, Kota",Palm Oil Land Area: Total (in Hectares),,,,,,,,,
"Ambon, Kota",Palm Oil Yield by type of ownership: Private (in Kg/Ha),,,,,,,,,
"Ambon, Kota",Palm Oil Yield by type of ownership: Smallholder (in Kg/Ha),,,,,,,,,
"Ambon, Kota",Palm Oil Yield by type of ownership: State Owned Enterprise (in Kg/Ha),,,,,,,,,
"Ambon, Kota",Palm Production by type of ownership: Private (in Tons),,,,,,,,,
"Ambon, Kota",Palm Production by type of ownership: Smallholder (in Tons),,,,,,,,,
"Ambon, Kota",Palm Production by type of ownership: State Owned Enterprise (in Tons),,,,,,,,,
"Ambon, Kota",Palm Production: Total (in Tons),,,,,,,,,
"Ambon, Kota",Percentage of Population in Rural Areas (only 2005 and 2010) (in % of Total Population),12.6597924,,,,,7.63,7.628785,,
"Ambon, Kota",Percentage of Population in Urban Areas (only 2005 and 2010) (in % of Total Population),87.3402076,,,,,92.37,92.37122,,
"Ambon, Kota",Personnel expenditure (in IDR),1.63E+11,1.87E+11,,3.05E+11,,3.90E+11,4.52E+11,5.34E+11,5.84E+11
"Ambon, Kota",Poverty Gap (index),1.11,1.16,1.31,0.85,0.97,1.1,0.9,0.73,0.5
